Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,CapEx / OpEx,2024 Current Forecast,2025 Agreed Budget
IS Corporate - Corporate Affairs (65180),Partner Relationship Management - SaaS,,,Inova Software Inc (now Inpart),Op Ex,56500.0,80800.0
IS InfoSec & EA - IAM (65190),Current contract for 4600 licenses runs until Nov 2024. Estimating for 6000 licenses for 2023. Cost: 5.90 per user per month,,Duo Security - Cisco,Evotek,Op Ex,350360.97,420000.0
IS ED&EUS - End User Services (65140),Adobe - Enterprise Software Licenses Maintenance,,,"CDW Direct, LLC",Op Ex,141342.689709,124999.92
IS R&D – Global Pharmacovigilance & Labeling (65170),"Argus ICSR Annual Maintenance and Support for EXISTING CASE LICENSES (18k+3k+14k+3k+2k) to support ICSR management in Argus- Contract # 
21096174, 6549315, 21033513, 21033508

Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.","Argus ICSR Annual Maintenance and Support for EXISTING CASE LICENSES (18k+3k+14k+3k+2k) to support ICSR management in Argus- Contract # 
21096174, 6549315, 21033513, 21033508

Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.","Argus

Argus, PVI",Oracle America Inc,Op Ex,851021.38,970337.666666667
ERP Project Harmony (66100),AX Dynamics Annual License Maintenance Fees,,,Codec-dss Limited,Op Ex,20968.1,21000.0
IS ED&EUS - End User Services (65140),Bomgar Remote Control/LiveChat Cloud Software Subscription,Bomgar Remote Control/LiveChat Cloud Software Subscription,Services,BeyondTrust,Op Ex,19583.28,26000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),"Brightcove, Video Hosting",,,Brightcove,Op Ex,30000.0,38000.0
IS ED&EUS - End User Services (65140),"Printing Services - NA (PAL PHI)
Jazz REMIX",,,Canon Financial Services,Op Ex,22735.56,63192.0
IS Global Infrastructure – Network (65150),Network maintenance Cisco SmartNet (Jazz),Network -  Network maintenance Cisco SmartNet,Cisco,Evotek,Op Ex,15000.0,105000.0
IS R&D – Data Sciences (65170),"Clnical/Biostatistics Annual License Fee: Cytel - East, STATXact","Clnical/Biostatistics Annual License Fee: Cytel - East, STATXact",EAST,Cytel,Op Ex,169710.0,218010.0
IS Corporate - Legal (65180),Contract Life Cycle Mgmt System Implementation - SaaS Fee,,,Apttus Corporation,Op Ex,144731.19,84000.0
IS Enterprise Data & Analytics (65115),CopyStorm - Yearly Licenses,CopyStorm - Yearly Licenses,CopyStorm,"Capstorm, LLC",Op Ex,8379.0,8379.0
IS Commercial - Omnichannel (65160),"CSC & Network Solutions,Internet Domain Names Registrars (Combined)",Web domain Registration,CSC,CSC Corporation Service Company,Op Ex,299373.94,374000.0
IS Enterprise Data & Analytics (65115),Data and Report Operations and Support - Offshore,Data and Report Operations and Support - Offshore,Offshore Data Ops Support,Intelliswift Software Inc.,Op Ex,2158944.0,2309760.0
IS Corporate - Other/IS (65180),Docusign SAAS Fee,,,DocuSign Inc,Op Ex,277366.65,370128.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Dublin Office Landlines and Athlone Internet from Eir,,Telephony,Eircom Ltd,Op Ex,15277.07,32500.0
IS ED&EUS - End User Services (65140),Endpoint Backup (Carbonite),,,Groupware Technology Inc,Op Ex,29691.0,24000.0
IS R&D – Global Clinical Development Operations (65170),"Enhance Global CTD Authoring Standards and Templates - 'Starting Point"" Support Maintenance","Enhance Global CTD Authoring Standards and Templates - 'Starting Point"" Support Maintenance",Starting Point,Accenture LLP,Op Ex,10500.0,18000.0
IS Global Infrastructure - Manufacturing (65150),"Manufacturing - Legacy enterprise eVault backup at sites (Vancouver, Athlone) that needs to remain until these sites have been converted to Veeam and the restores have expired","Manufacturing - LEGACY enterprise eVault backup at sites (Vancouver, Athlone) that needs to remain until these sites have been converted to Veeam and the restores have expired",Carbonite eVault,Evotek,Op Ex,49761.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),"Webex -100 users, cloud management, calling plans - Global",,,"NTT America Solutions, Inc.",Op Ex,60123.87,50300.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Global Efax,,,j2 Global Inc dba eFax Corporate,Op Ex,41986.16,30000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Global Network - ATH CCTV Internet Access Circuits (Committed),,CCTV,Airspeed Telecom,Op Ex,19819.41,17000.0
IS R&D - Global Regulatory Affairs (65170),GlobalSubmit Regulatory Submissions - SaaS - Ongoing Run,,GlobalSubmit,Certara USA Inc,Op Ex,291749.97,0.0
IS R&D - Global Regulatory Affairs (65170),Regulatory - GlobalSign Digital Certificate,Regulatory - GlobalSign Digital Certificate,GlobalSign,GMO GlobalSign,Op Ex,0.0,2000.0
IS Corporate - HR (65180),Workday Annual SaaS Fees (incl $320k for adding GW employees to new tenant),,,Workday Inc,Op Ex,1088728.28,1218376.0
IS R&D – Global Pharmacovigilance & Labeling (65170),QlikView Software Annual Maintenance Fee,QlikView Software Annual Maintenance Fee,Qlik,"QlikTech, Inc.",Op Ex,36505.0,36505.0
IS Management (65100),IT - Gartner Subscription Annual Fees,,,Gartner,Op Ex,531288.46,555200.0
IS Enterprise Data & Analytics (65115),Reltio MDM - Yearly Licenses,Reltio MDM - Yearly Licenses,Reltio,"Reltio, Inc.",Op Ex,185718.99,46989.0
IS ED&EUS - End User Services (65140),IT Supplies New Hire/Replacement- General (US),,,"CDW Direct, LLC",Op Ex,0.0,600000.0
IS ED&EUS - End User Services (65140),IT Supplies New Hire/replacement - General (EU),IT Supplies New Hire/replacement - General (EU),Hardware,HiberniaEvros Technology Group,Op Ex,127371.66,435600.0
IS ED&EUS - End User Services (65140),IT Supplies - iPads (replacements) OPEX,IT Supplies - iPads (replacements) OPEX,Hardware,HiberniaEvros Technology Group,Op Ex,101251.32,79200.0
IS ED&EUS - End User Services (65140),Laptops for New Hires,,,"CDW Direct, LLC",Cap Ex,0.0,525000.0
IS ED&EUS - End User Services (65140),New Hire laptops Europe,New Hire laptops Europe,Hardware,HiberniaEvros Technology Group,Cap Ex,185667.0,87600.0
IS R&D – Global Medical Affairs (65170),Medical Affairs - Polaris - Educational Grant Software - SaaS Fees (Eleana),Medical Affairs - Polaris - Educational Grant Software - SaaS Fees (Eleana),Polaris,IQVIA Inc,Op Ex,138952.01,149352.0
IS ED&EUS - End User Services (65140),Mobile Phone Airtime Service UK (New Contract),Mobile Phone Airtime Service UK (New Contract),Telephony,Vodafone UK,Op Ex,153989.742373,120000.0
IS ED&EUS - End User Services (65140),Mobile Phone service for Ireland,Mobile Phone service for Ireland,Telephony,Three Ireland Services (Hutchison),Op Ex,25537.74,66000.0
IS ED&EUS - End User Services (65140),Mobility for France Office and Sales from Orange France,,Telephony,Orange,Op Ex,12600.0,0.0
IS ED&EUS - End User Services (65140),Mobility - AT&T.,,,AT&T Mobility,Op Ex,0.0,30000.0
IS ED&EUS - End User Services (65140),"Mobility, broadband and landlines from Vodafone (JPI)",Mobile Phone Airtime Service UK (Old Contract),Telephony,Vodafone UK,Op Ex,123478.359483,36000.0
IS ED&EUS - End User Services (65140),"Mobility, broadband Verizon",,,Verizon,Op Ex,0.0,348000.0
IS Global Infrastructure – Network (65150),Network DDNS,Network - DDNS,Vercara,Neustar Inc.,Op Ex,91134.96,60000.0
IS R&D – Research & NonClinical Development (65170),Non-Clinical:  WinNonlin (Pharsight) for Pharmacometrics,Non-Clinical:  WinNonlin and NLME (Pharsight) for Pharmacometrics,WinNonlin,Certara USA Inc,Op Ex,28947.0,117235.35
IS R&D – Research & NonClinical Development (65170),,Drug Interaction Database (DIDB) for Pharmacology and DMPK,Drug Interaction Database (DIDB),Certara USA Inc,Op Ex,0.0,
IS InfoSec & EA - IAM (65190),Okta - Estimating for 6500 users (licenses) for 2024. Cost: 9.25 per user per month,,Okta,Evotek,Op Ex,665741.2,684000.0
IS Global Infrastructure - Cloud (65150),"Misc. Software maintenance renewal (Filetree, Visual Studio ...)",Cloud - Misc. Software GitHub,CDW,Microsoft Corporation,Op Ex,0.0,
IS Global Infrastructure - Cloud (65150),"Misc. Software maintenance renewal (Filetree, Visual Studio ...)","Cloud - Misc. Software maintenance renewal (Filetree, Visual Studio ...)","Visual Studio, Filetree Pro","CDW Direct, LLC",Op Ex,0.0,
IS Global Infrastructure - Cloud (65150),Oracle Databases Support Maintenance,Cloud - Oracle Databases Support Maintenance,Oracle,Oracle America Inc,Op Ex,26328.55,20000.0
ERP Project Harmony (66100),"Planning, Budgeting, Consolidation (BPC) - AMS, Hosting, IMS, BASIS - RUN (includes S/4 resource until Mar 2021)",,,Teklink International AG,Op Ex,387759.83,295500.0
ERP Project Harmony (66100),"Planning, Budgeting, Consolidation (BPC) - Support and Maintenance - RUN",,,NTT Itelligence,Op Ex,27810.0,120000.0
IS TechOps & Quality – Manufacturing (65130),"90 named user + 10 education hub licence approx €32,000",,,Minitab Limited,Op Ex,29923.33,41000.0
IS InfoSec & EA - Eng & Ops (65190),"Proofpoint Email Security.  
(POD, TAP, and TRAP)",,Proofpoint,Proofpoint,Op Ex,325399.44,334470.0
IS R&D – Global Medical Affairs (65170),Pubshub Publication Management Solution SaaS Fees (Brian Sheckner/Manish Patel),Pubshub Publication Management Solution SaaS Fees (Brian Sheckner/Manish Patel),PubsHub,ICON,Op Ex,120439.5,124080.0
IS TechOps & Quality – QA (65130),"Quality - QMS - ETQ Hosting, Licences, & Software Maintenance Annual Fees",,Reliance,ETQ Management Consultants Inc,Op Ex,0.0,0.0
IS InfoSec & EA - Eng & Ops (65190),"Qualys Guard (Vulnerability Scanner for 1024 Internal IPs, 64 External IPs) and Patch Mgmt",,Qualys Inc,Qualys Inc,Op Ex,69203.52,90360.0
IS R&D - Global Regulatory Affairs (65170),Regulatory A4/5 Labeling Software Annual Maintenance,Regulatory A4/5 Labeling Software Annual Maintenance,I4I,I4I,Op Ex,39116.0,31500.0
IS R&D - Global Regulatory Affairs (65170),"Regulatory: ISI/CSC Desktop Software (ISI Toolbox, etc) Maintenance","Regulatory: ISI/CSC Desktop Software (ISI Toolbox, etc) Maintenance",ISI,dxc Consulting,Op Ex,19799.4,21000.0
IS R&D – Global Clinical Development Operations (65170),"Veeva Managed Services Contract for multiple Veeva applications (eTMF - Clinical, Regulatory, PM and MC)","Veeva Managed Services Contract for multiple Veeva applications (eTMF - Clinical, Regulatory, PM and MC)",All R&D Veeva Vaults,Veeva Systems Inc,Op Ex,147175.0,176820.0
IS R&D – R&D Strategy & Operations (65170),Resource and Portfolio Management Solution - Application Mgmt Services,Resource and Portfolio Management Solution - Application Mgmt Services,Planisware,Planisware,Op Ex,18000.0,45000.0
IS R&D – R&D Strategy & Operations (65170),Resource and Portfolio Management Solution - SaaS Fees - Run,Resource and Portfolio Management Solution - SaaS Fees - Run,Planisware,Planisware,Op Ex,422338.64,485779.6
IS R&D – Data Sciences (65170),SAS Data Analysis and Data Protection - Hosting (Run),SAS Data Analysis and Data Protection - Hosting (Run),SAS,d-Wise Technologies Inc,Op Ex,341191.5,770213.0
IS ED&EUS - Service Management (65140),Service-now.com. Saas Lic Fee,,,Servicenow Inc,Op Ex,714160.65,719760.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Smartsheet license renewal 2024,,,Smartsheetcom Inc,Op Ex,333488.86,427272.0
IS Global Infrastructure - Cloud (65150),Cloud - Monitoring for systems at Jazz sites,,Solarwinds,Loop1,Op Ex,0.0,0.0
IS InfoSec & EA - Eng & Ops (65190),"Crowd Strike Products:
.SaaS Antivirus Service for Laptops
.Crowd Strike SaaS Identity Threat Protection
.Crowdstrike cloud security module",,Crowdstrike,Crowdstrike,Op Ex,305052.54,414936.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Telephony SaaS 8x8 Monthly Fees,,,8x8 Inc,Op Ex,15489.73,36000.0
IS Commercial - EU & Int'l (65160),"Baseline Jazz CRM licenses (Events, CRM, Approved Email, Admin, Engage)","30413 - contract ID in Coupa
PR 21449
PO #3101_12182",Veeva CRM,EU - Veeva Systems Inc,Op Ex,855675.11,993704.04
IS Commercial - Omnichannel (65160),Veeva CRM License & Subscription (Combined),Veeva CRM License & Subscription,Veeva,US - Veeva Systems Inc,Op Ex,1628178.0,2000000.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - Virtualization maintenance (Jazz),,VMWare Jazz,Groupware Technology Inc,Op Ex,0.0,0.0
IS Commercial - Omnichannel (65160),Website support (Workbox) - Support,-,-,Workbox Inc,Op Ex,61212.0,100000.0
IS R&D - Global Regulatory Affairs (65170),Regulatory - JazzVault RIM - SaaS -  Annual License Subscription Run,Regulatory - JazzVault RIM - SaaS -  Annual License Subscription Run,JV RIM,Veeva Systems Inc,Op Ex,1268040.82,1340324.84
IS Corporate - Corporate Affairs (65180),Knack Solution SAAS Licensing,,,Knack,Op Ex,62450.5,0.0
IS Enterprise Data & Analytics (65115),Alteryx Designer License for 14 users - Yearly Renewal,Alteryx Designer License for 11 users - Yearly Renewal,Alteryx Designer,"Alteryx, Inc.",Op Ex,109398.66,71688.0
IS Enterprise Data & Analytics (65115),TOAD - Yearly Licenses,TOAD - Yearly Licenses,TOAD,Dell Financial Services,Op Ex,20000.0,30000.0
IS InfoSec & EA - Eng & Ops (65190),DigiCert Enterprise Managed PKI,,DigiCert,DigiCert,Op Ex,100139.53,110596.0
IS InfoSec & EA - Eng & Ops (65190),ManageEngine Active Directory Audit Software,,ManageEngine,ManageEngine,Op Ex,29901.84,29901.12
IS InfoSec & EA - Eng & Ops (65190),vSOC Detect Managed Service (Exabeam + Splunk + 6 months online storage+EDR),,Deepwatch,GuidePoint Security LLC,Op Ex,407995.92,596867.28
IS Global Infrastructure - Cloud (65150),"Cloud - AWS costs for all departments including Marketplace purchases for SAP Linux, N2WS, Veeam, Synchronet, etc. ...","Cloud - AWS costs for all departments including Marketplace purchases for SAP Linux, N2WS, Veeam, Synchronet, etc. ...",AWS,Amazon Web Services Inc,Op Ex,6506780.03,6960000.0
IS TechOps & Quality – QA (65130),"LMS - CornerStone SBX (Saba) Licences (Includes User licences, Choice Support, Connector subscriptions  for video, Teams, Zoom, LinkedIn)",,Saba,CornerStone (previously Saba),Op Ex,292965.04,314880.0
ERP Project Harmony (66100),SAP S/4 Annual AMS & TMS (Support),,,NTT Itelligence,Op Ex,1697849.48,2067600.0
IS TechOps & Quality – QA (65130),Job Assignment Manager Microapp (Saba App),,Saba,Educe,Op Ex,10462.72,22452.0
IS R&D – Global Medical Affairs (65170),Visiontracker -EAP SaaS Fees - Run,Visiontracker -EAP SaaS Fees - Run,VisionTracker,"Envision Pharma, Inc.",Op Ex,33075.0,44690.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 Software Subscription & License Renewall,,,Microsoft Corporation,Op Ex,3323602.28098,3120000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),AV Support for Board of Director Meetings (Dublin),,Support,Digicom Office Technology,Op Ex,19920.54,0.0
ERP Project Harmony (66100),SAP S/4 annual license maintenance,,,NTT Itelligence,Op Ex,865924.58,852000.0
IS Enterprise Data & Analytics (65115),Tableau Licenses - GROWTH (US),To be retired,Tableau,Salesforce,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),Statistical Software for TECHOPS and R&D users,Statistical Software for TECHOPS and R&D users,JMP,JMP,Op Ex,13125.0,18750.0
IS Infosec & EA - SGRC (65190),CAPEX: Security resource to support HCP and Mywave app developement security for commerical as part of project re:dream,,,PriceWaterhouseCoopers Advisory Services LLC,Cap Ex,200000.0,0.0
IS R&D – Research & NonClinical Development (65170),"Chemistry42 - 5 tokens (RNCD)
PandaOmics - 40 licenses (DS)
InClinico - 3 licenses (DS)","Chemistry42 - 5 tokens (RNCD)
PandaOmics - 40 licenses (DS)
InClinico - 3 licenses (DS)","Various (Chemistry42, PandaOmics, InClinico)",InSilico Medicine,Op Ex,259089.303333333,352880.0
IS R&D – Global Pharmacovigilance & Labeling (65170),ArgusAxway Maintenance & Support,ArgusAxway Maintenance & Support,Argus,"Axway, Inc",Op Ex,0.0,39550.0
IS ED&EUS - Service Management (65140),CW Resource in Service Mgmt - Intelliswift (Sambasiva),"This is a new hire PM, replacing Alex Dyer",,Intelliswift Software Inc.,Op Ex,0.0,276000.0
IS ED&EUS - Projects and Portfolio (65140),,ED&EUS Analyst/coordinator,,RBW Consulting,Op Ex,0.0,206400.0
IS Enterprise Data & Analytics (65115),MDM Ops Support - Offshore,MDM Ops Support - Offshore,Informatica MDM - Ops Support - Offshore,PCGI,Op Ex,0.0,128640.0
IS R&D – Global Medical Affairs (65170),"JazzVault PromoMats and MedComms - SaaS - Annual License Subscription Run, including legacy GW vaults (MedComms)
Mar 02,2025, Includes Veeva CRM licenses: 07/07/25","JazzVault PromoMats and MedComms - SaaS - Annual License Subscription Run, including legacy GW vaults (MedComms)
Mar 02,2025, Includes Veeva CRM licenses: 07/07/25",JV PromoMats and MedComms,Veeva Systems Inc,Op Ex,1263430.4,1361257.0
IS InfoSec & EA - Eng & Ops (65190),InfoSec Subscriptions -  CIS,,,CIS,Op Ex,0.0,0.0
IS InfoSec & EA - Eng & Ops (65190),InfoSec Subscriptions - Mandiant IR Retainer,,,Mandiant,Op Ex,172500.0,119627.683333333
IS InfoSec & EA - IIEA - Portfolio Management (65190),InfoSec Subscriptions - Threat Intel,InfoSec Subscriptions - Threat Intel,,PriceWaterhouseCoopers Advisory Services LLC,Op Ex,54544.09,54000.0
IS Corporate - HR (65180),HR Shared Services Center HelpDesk Licenses (zendesk),,,Zendesk Inc,Op Ex,168096.67,192000.0
IS InfoSec & EA - IAM (65190),Estimating for 6300 licenses for 2024. Cost: 7 per user per month,,Sailpoint IdentityNow (JazzAccess),Evotek,Op Ex,635776.04,576000.0
IS ED&EUS - End User Services (65140),New Hire - iPads (CAPEX),,,"CDW Direct, LLC",Cap Ex,0.0,254000.04
IS Infosec & EA - SGRC (65190),"Software licenses:
- 6 admins
- 11 moderates
- 1 task users",,LogicManager,LogicManager,Op Ex,109904.4,43332.0
IS ED&EUS - End User Services (65140),IT - Supplies New Hire - iPads Apple Care (OPEX),,,"CDW Direct, LLC",Op Ex,0.0,27142.26
IS Infosec & EA - SGRC (65190),Managed service for InfoSec TPRM assessments and contract processing,,,ComplyScore LLC,Op Ex,190682.97,273960.0
IS R&D – Global Pharmacovigilance & Labeling (65170),Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.,Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.,"Argus, PVI",Oracle America Inc,Op Ex,0.0,0.0
IS InfoSec & EA - Eng & Ops (65190),"Managed Services - Security & Compliance Maintenance, Support & Operations",,,Stratogent Corporation,Op Ex,349635.0,386148.0
IS R&D – Global Clinical Development Operations (65170),"Licensing for Litera apps (DocXTools, Content Companion, Change-Pro Compare)","Licensing for Litera apps (DocXTools, Content Companion, Change-Pro Compare)",Litera,Freedom Solutions Group LLC (Litera),Op Ex,133125.03,146736.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),AT&T Landline & Long Distance,,,AT&T,Op Ex,32090.5,24000.0
IS ED&EUS - End User Services (65140),IT Supplies New Hire  - Canada - VAN,,,CDW Canada,Op Ex,0.0,45000.0
IS ED&EUS - End User Services (65140),IT Supplies New Hire  - Canada - MIS,,,CDW Canada,Op Ex,0.0,22500.0
ERP Project Harmony (66100),UKSUG Annual fee,,,UKSUG,Op Ex,0.0,2000.0
IS Corporate - HR (65180),HR Shared Service - Zendesk AMS,,,Envoy Studios,Op Ex,0.0,0.0
IS R&D – Data Sciences (65170),"VisualSVN Server Enterprise  to version control BioStats code and data. Maintenance renewal
Unlimited users + Unlimited VDFS repositories","VisualSVN Server Enterprise  to version control BioStats code and data. Maintenance renewal
Unlimited users + Unlimited VDFS repositories",VisualSVN,Visual SVN,Op Ex,0.0,1092.0
IS Corporate - HR (65180),Technical Resource(s) for G&A Data Team,,,Intelliswift Software Inc.,Op Ex,36000.0,0.0
IS Enterprise Data & Analytics (65115),Reltio MDM - GROWTH,To be retired,Reltio,"Reltio, Inc.",Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Zoom Audio Monthly/Overage cost,,,"Zoom Video Communications, Inc.",Op Ex,3997.5,2400.0
IS Corporate - Other/IS (65180),Docusign Validation,,,US Data Management,Op Ex,17000.0,20000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Zoom Subscription,,,"Zoom Video Communications, Inc.",Op Ex,48689.8900000001,230000.0
IS Enterprise Data & Analytics (65115),Tableau EU - Yearly Licenses,To be retired,Tableau,Salesforce,Op Ex,30606.03,0.0
IS InfoSec & EA - Eng & Ops (65190),License costs for Vormetric - data-at-rest encryption,,Vormetric,Vormetric (Thales),Op Ex,44828.02,60000.0
IS InfoSec & EA - Eng & Ops (65190),Licence costs for Carbon Black,,Carbon Black,Carbon Black,Op Ex,68169.34,15600.0
IS InfoSec & EA - Eng & Ops (65190),"License costs for Quest AD Recovery Manager (MFG, Jazzpharma, Gentium domains)",,Quest,Quest Software Inc.,Op Ex,50486.5,33996.0
ERP Project Harmony (66100),CW - S4 Support Lindsay Saksa,,,RSS Consulting Inc,Op Ex,-11577.5,0.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - Linux OS licenses,Corp and Manufacturing - Linux OS licenses,Redhat,Evotek,Op Ex,8394.0,1500.0
IS ED&EUS - Automation (65140),RPA annual License renewal,RPA annual License renewal,Automation Anywhere,"Automation Anywhere, Inc.",Op Ex,212527.03,216000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Zoom  Subscription Licenses for New Hires (FTEs and CWs),,,"Zoom Video Communications, Inc.",Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft  Software Subscription Licenses - Annual True-ups for misc. license increases.,,,Microsoft Corporation,Op Ex,183637.5,350000.0
